"","year","continent","exp_median","exp_mean","exp_sd"
"1",2007,"Oceania",80.7195,80.7195,0.729027091403335
"2",2002,"Oceania",79.74,79.74,0.890954544295053
"3",2007,"Europe",78.6085,77.6486,2.9798126601609
"4",1997,"Oceania",78.19,78.19,0.905096679918782
"5",2002,"Europe",77.5365,76.7006,2.92217957861169
"6",1992,"Oceania",76.945,76.945,0.869741340859456
"7",1997,"Europe",76.116,75.5051666666667,3.10467655135052
"8",1992,"Europe",75.451,74.4401,3.20978108986074
"9",1987,"Oceania",75.32,75.32,1.4142135623731
"10",1987,"Europe",74.815,73.6421666666667,3.16968033940696
"11",1982,"Oceania",74.29,74.29,0.636396103067887
"12",1982,"Europe",73.49,72.8064,3.21826029893856
"13",2007,"Americas",72.899,73.60812,4.44094763085538
"14",1977,"Oceania",72.855,72.855,0.898025612106913
"15",2007,"Asia",72.396,70.7284848484849,7.96372447069057
"16",1977,"Europe",72.335,71.9377666666667,3.12102997680124
"17",1997,"Americas",72.146,71.15048,4.88758389629614
"18",2002,"Americas",72.047,72.42204,4.7997054986044
"19",1972,"Oceania",71.91,71.91,0.0282842712474663
"20",1967,"Oceania",71.31,71.31,0.296984848098351
"21",1962,"Oceania",71.085,71.085,0.219203102167821
"22",2002,"Asia",71.028,69.2338787878788,8.37459538857541
"23",1972,"Europe",70.885,70.7750333333333,3.2405763693743
"24",1967,"Europe",70.61,69.7376,3.79972849846788
"25",1957,"Oceania",70.295,70.295,0.0494974746830535
"26",1997,"Asia",70.265,68.0205151515152,8.09117060876087
"27",1992,"Americas",69.862,69.56836,5.16710380580843
"28",1962,"Europe",69.525,68.5392333333333,4.30249955966524
"29",1987,"Americas",69.498,68.09072,5.80192884249138
"30",1952,"Oceania",69.255,69.255,0.190918830920365
"31",1992,"Asia",68.69,66.5372121212121,8.07554897033932
"32",1957,"Europe",67.65,66.7030666666667,5.29580539238584
"33",1982,"Americas",67.405,66.22884,6.72083381905351
"34",1977,"Americas",66.353,64.39156,7.06949561543585
"35",1987,"Asia",66.295,64.8511818181818,8.20379188414779
"36",1952,"Europe",65.9,64.4085,6.36108825405387
"37",1982,"Asia",63.739,62.6179393939394,8.53522140873991
"38",1972,"Americas",63.441,62.39492,7.32301680161029
"39",1977,"Asia",60.765,59.6105563636364,10.0221969818167
"40",1967,"Americas",60.523,60.41092,7.90917103705144
"41",1962,"Americas",58.299,58.39876,8.50354373815215
"42",1972,"Asia",56.95,57.3192690909091,9.72270004073083
"43",1957,"Americas",56.074,55.96028,9.03319227681997
"44",1952,"Americas",54.745,53.27984,9.32608188397822
"45",1967,"Asia",53.655,54.66364,9.65096458232544
"46",2007,"Africa",52.9265,54.8060384615385,9.63078067196179
"47",1997,"Africa",52.759,53.5982692307692,9.10338657543333
"48",1992,"Africa",52.429,53.6295769230769,9.46107098639753
"49",1987,"Africa",51.6395,53.3447884615385,7.86408910830706
"50",2002,"Africa",51.2355,53.3252307692308,9.58649585045544
"51",1982,"Africa",50.756,51.5928653846154,7.37594008904693
"52",1962,"Asia",49.325,51.563223030303,9.82063194066467
"53",1977,"Africa",49.2725,49.5804230769231,6.80819741006083
"54",1957,"Asia",48.284,49.3185442424242,9.63542861940215
"55",1972,"Africa",47.0315,47.4509423076923,6.41625832389558
"56",1952,"Asia",44.869,46.3143939393939,9.29175069597824
"57",1967,"Africa",44.6985,45.3345384615385,6.08267262744012
"58",1962,"Africa",42.6305,43.3194423076923,5.87536393337021
"59",1957,"Africa",40.5925,41.2663461538462,5.62012285430095
"60",1952,"Africa",38.833,39.1355,5.1515814343277
